pdf,global_id,dataset,well_name,locid,parlabel,parvq,risunits,logdate,lat,long,ns
null,11120427,FRACK,Mirada Petroleum Inc.,43,!HAMP FEE! 43 - NOT DIRECTIONALLY DRILLED,=,null,OJAI OILFIELD,34.4346839,-119.09839,1
null,11120764,FRACK,Seneca Resources Corporation,43-28,!TAR CREEK! 43-28 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4932063,-118.87760,1
Y,03041635,FRACK,Exxon Mobil Corporation,641B,!HILL! 641B,=,null,BELRIDGE SOUTH OILFIELD,35.482363,-119.75254,1
Y,03047984,FRACK,Chevron U.S.A. Inc.,6-6F,!CAHN! 6-6F - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.6073041,-119.71679,1
null,11104368,FRACK,Aera Energy LLC,45,!EDISON! 45 - DIRECTIONALLY DRILLED,=,null,VENTURA OILFIELD,34.3217466,-119.29151,1
Y,03047045,FRACK,Aera Energy LLC,86WFR-19,!ELLIS! 86WFR-19,=,null,BELRIDGE SOUTH OILFIELD,35.475331,-119.74347,1
Y,03046301,FRACK,Vintage Production California LLC,17H-14W,!TWISSELMAN! 17H-14W - HORIZONTALLY DRILLED,=,null,MONUMENT JUNCTION OILFIELD,35.4025475,-119.69481,1
Y,10120788,FRACK,Venoco Inc.,33-4,!CARROLL! 33-4 - NOT DIRECTIONALLY DRILLED,=,null,SUTTER BUTTES GAS OILFIELD,39.1994868,-121.87268,1
Y,03047913,FRACK,Aera Energy LLC,938C-20,WELL # 938C-20,=,null,BELRIDGE SOUTH OILFIELD,35.47084,-119.73778,1
Y,10120901,FRACK,Venoco Inc.,417,!BUTTES COMMUNITY 1! 417 - NOT DIRECTIONALLY DRILLED,=,null,SUTTER BUTTES GAS OILFIELD,39.188379,-121.83927,1
Y,03048585,FRACK,Aera Energy LLC,7097I-2,!BELRIDGE I! 7097I-2,=,null,BELRIDGE SOUTH OILFIELD,35.438902,-119.69361,1
null,11120207,FRACK,Seneca Resources Corporation,52-6,!BONEBRAKE B! 52-6 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4639879,-118.90575,1
Y,03726720,FRACK,Plains Exploration  AND  Production Company,330,!VICKERS 1! 330 - DIRECTIONALLY DRILLED,=,null,INGLEWOOD OILFIELD,34.006457,-118.37913,1
Y,03046712,FRACK,Chevron U.S.A. Inc.,8-8ER2,WELL # 8-8ER2 - DIRECTIONALLY DRILLED,=,null,LOST HILLS OILFIELD,35.6214236,-119.73264,1
Y,03048559,FRACK,Occidental of Elk Hills Inc.,54E-35S,WELL # 54E-35S,=,null,ELK HILLS OILFIELD,35.276688,-119.36599,1
null,05906764,FRACK,Linn Operating Inc.,16,!MENCHEGO! 16,=,null,BREA-OLINDA OILFIELD,33.9448908,-117.88727,1
null,11120173,FRACK,Seneca Resources Corporation,82-6,!BONEBRAKE B! 82-6 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4644346,-118.90219,1
Y,03050111,FRACK,Aera Energy LLC,541D6-33 ,WELL # 541D6-33 ,=,null,BELRIDGE SOUTH OILFIELD,35.453852,-119.71654,1
null,11120187,FRACK,Seneca Resources Corporation,4,!BASENBERG! 4 - DIRECTIONALLY DRILLED,=,null,SESPE OILFIELD,34.4657707,-118.90033,1
Y,11122026,FRACK,Aera Energy LLC,55,!MCGONIGLE! 55 - DIRECTIONALLY DRILLED,=,null,VENTURA OILFIELD,34.321128,-119.26309,1
Y,10120734,FRACK,Venoco Inc.,218,!BUTTES COMMUNITY 1! 218 - NOT DIRECTIONALLY DRILLED,=,null,SUTTER BUTTES GAS OILFIELD,39.1993664,-121.89672,1
Y,03048280,FRACK,Aera Energy LLC,733CL-29,WELL # 733CL-29,=,null,BELRIDGE SOUTH OILFIELD,35.465959,-119.73770,1
